frame R G B
frame_0000.ppm 4 4 4
frame_0001.ppm 4 4 4
frame_0002.ppm 4 4 4
frame_0003.ppm 4 4 4
frame_0004.ppm 252 244 237
frame_0005.ppm 252 244 237
frame_0006.ppm 253 250 250
frame_0007.ppm 253 250 250
frame_0008.ppm 251 251 250
frame_0009.ppm 248 248 247
frame_0010.ppm 255 255 255
frame_0011.ppm 5 4 4
frame_0012.ppm 0 0 0
frame_0013.ppm 7 8 7
frame_0014.ppm 16 18 15
frame_0015.ppm 28 32 27
frame_0016.ppm 43 48 41
frame_0017.ppm 58 64 55
frame_0018.ppm 72 79 68
frame_0019.ppm 77 85 72
frame_0020.ppm 75 86 71
frame_0021.ppm 79 89 75
frame_0022.ppm 79 89 79
frame_0023.ppm 81 91 81
frame_0024.ppm 85 95 85
frame_0025.ppm 88 98 88
frame_0026.ppm 74 81 72
frame_0027.ppm 76 83 75
frame_0028.ppm 28 30 28
frame_0029.ppm 107 105 100
frame_0030.ppm 113 111 105
frame_0031.ppm 117 115 109
frame_0032.ppm 117 116 110
frame_0033.ppm 10 6 5
frame_0034.ppm 12 10 9
frame_0035.ppm 12 10 8
frame_0036.ppm 7 8 8
frame_0037.ppm 11 9 8
frame_0038.ppm 95 95 81
frame_0039.ppm 60 65 58
frame_0040.ppm 60 65 58
frame_0041.ppm 45 42 38
frame_0042.ppm 50 45 40
frame_0043.ppm 49 45 40
frame_0044.ppm 50 45 40
frame_0045.ppm 28 34 30
frame_0046.ppm 0 0 0
frame_0047.ppm 61 60 52
frame_0048.ppm 61 60 52
frame_0049.ppm 62 60 52
frame_0050.ppm 61 60 52
frame_0051.ppm 82 66 41
frame_0052.ppm 52 34 21
frame_0053.ppm 60 34 15
frame_0054.ppm 37 30 17
frame_0055.ppm 51 39 22
frame_0056.ppm 83 63 36
frame_0057.ppm 92 65 34
frame_0058.ppm 74 57 33
frame_0059.ppm 58 48 27
frame_0060.ppm 32 24 11
frame_0061.ppm 84 70 42
frame_0062.ppm 93 70 39
frame_0063.ppm 80 69 42
frame_0064.ppm 50 46 29
frame_0065.ppm 59 54 35
frame_0066.ppm 31 26 17
frame_0067.ppm 48 48 33
frame_0068.ppm 128 91 49
frame_0069.ppm 31 25 14
frame_0070.ppm 45 27 13
frame_0071.ppm 43 35 21
frame_0072.ppm 44 38 25
frame_0073.ppm 105 76 47
frame_0074.ppm 71 66 47
frame_0075.ppm 124 62 47
frame_0076.ppm 48 45 31
frame_0077.ppm 77 75 55
frame_0078.ppm 55 47 30
frame_0079.ppm 68 63 42
frame_0080.ppm 62 58 39
frame_0081.ppm 75 65 43
frame_0082.ppm 84 75 50
frame_0083.ppm 73 55 32
frame_0084.ppm 51 44 26
frame_0085.ppm 66 53 31
frame_0086.ppm 165 67 48
frame_0087.ppm 83 66 40
frame_0088.ppm 54 43 25
frame_0089.ppm 48 45 28
